"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"cpsc.gov","cpsc.gov","https://cpsc.gov","Consumer Product Safety Commission","dotgov","Yes"
"crimesolutions.gov","crimesolutions.gov","https://crimesolutions.gov","Department of Justice","dotgov","Yes"
"crimevictims.gov","crimevictims.gov","https://crimevictims.gov","Department of Justice","dotgov","Yes"
"crisisnextdoor.gov","crisisnextdoor.gov","https://www.crisisnextdoor.gov","Executive Office of the President","dotgov","No"
"csb.gov","csb.gov","https://www.csb.gov","Chemical Safety Board","dotgov","No"
"csosa.gov","csosa.gov","https://www.csosa.gov","Court Services and Offender Supervision","dotgov","No"
"cttso.gov","cttso.gov","https://cttso.gov","Department of Defense","dotgov","Yes"
"cuidadodesalud.gov","cuidadodesalud.gov","https://www.cuidadodesalud.gov","Department of Health and Human Services","dotgov","Yes"
"cupcao.gov","cupcao.gov","https://cupcao.gov","Department of the Interior","dotgov","Yes"
"cwc.gov","cwc.gov","https://cwc.gov","Department of State","dotgov","No"
"cybercareers.gov","cybercareers.gov","https://www.cybercareers.gov","Office of Personnel Management","dotgov","No"
"data.gov","data.gov","https://www.data.gov","General Services Administration","dotgov","Yes"
"dea.gov","dea.gov","https://www.dea.gov","Department of Justice","dotgov","Yes"
"deaecom.gov","deaecom.gov","https://www.deaecom.gov","Department of Justice","dotgov","No"
"defense.gov","defense.gov","https://www.defense.gov","Department of Defense","dotgov","Yes"
"denali.gov","denali.gov","http://www.denali.gov","Denali Commission","dotgov","No"
"dfc.gov","dfc.gov","https://www.dfc.gov","United States International Development Finance Corporation","dotgov","No"
"dhs.gov","dhs.gov","https://www.dhs.gov","Department of Homeland Security","dotgov","Yes"
"dietaryguidelines.gov","dietaryguidelines.gov","https://www.dietaryguidelines.gov","U.S. Department of Agriculture","dotgov","Yes"
"digital.gov","digital.gov","https://digital.gov","General Services Administration","dotgov","Yes"
"digitaldashboard.gov","digitaldashboard.gov","https://digitaldashboard.gov","General Services Administration","dotgov","Yes"
"directoasucuenta.gov","directoasucuenta.gov","https://directoasucuenta.gov","Department of the Treasury","dotgov","No"
"disability.gov","disability.gov","https://disability.gov","Department of Labor","dotgov","No"
"disasterassistance.gov","disasterassistance.gov","https://www.disasterassistance.gov","Department of Homeland Security","dotgov","Yes"
"dnfsb.gov","dnfsb.gov","https://www.dnfsb.gov","Defense Nuclear Facilities Safety Board","dotgov","Yes"
"dni.gov","dni.gov","https://www.dni.gov","Director of National Intelligence","dotgov","Yes"
"dnsops.gov","dnsops.gov","https://dnsops.gov","Department of Commerce","dotgov","Yes"
"docline.gov","docline.gov","https://docline.gov","Department of Health and Human Services","dotgov","No"
"doi.gov","doi.gov","https://www.doi.gov","Department of the Interior","dotgov","Yes"
"doioig.gov","doioig.gov","https://www.doioig.gov","Department of the Interior","dotgov","No"
"dol.gov","dol.gov","https://www.dol.gov","Department of Labor","dotgov","Yes"
"donaciondeorganos.gov","donaciondeorganos.gov","https://donaciondeorganos.gov","Department of Health and Human Services","dotgov","Yes"
"donotcall.gov","donotcall.gov","https://donotcall.gov","Federal Trade Commission","dotgov","Yes"
"dra.gov","dra.gov","https://dra.gov","Delta Regional Authority","dotgov","No"
"drought.gov","drought.gov","https://www.drought.gov","Department of Commerce","dotgov","Yes"
"drugabuse.gov","drugabuse.gov","https://www.drugabuse.gov","Department of Health and Human Services","dotgov","Yes"
"dsac.gov","dsac.gov","https://www.dsac.gov","Department of Justice","dotgov","No"
"e-enterprise.gov","e-enterprise.gov","https://e-enterprise.gov","Environmental Protection Agency","dotgov","Yes"
"e-verify.gov","e-verify.gov","https://www.e-verify.gov","Department of Homeland Security","dotgov","Yes"
"eac.gov","eac.gov","https://www.eac.gov","Election Assistance Commission","dotgov","No"
"earmarks.gov","earmarks.gov","https://earmarks.gov","Executive Office of the President","dotgov","No"
"earthsystemprediction.gov","earthsystemprediction.gov","https://earthsystemprediction.gov","Department of Commerce","dotgov","Yes"
"economicinclusion.gov","economicinclusion.gov","https://economicinclusion.gov","Federal Deposit Insurance Corporation","dotgov","No"
"econsumer.gov","econsumer.gov","https://econsumer.gov","Federal Trade Commission","dotgov","Yes"
"ed.gov","ed.gov","https://www.ed.gov","Department of Education","dotgov","Yes"
"eda.gov","eda.gov","https://eda.gov","Department of Commerce","dotgov","Yes"
"eeoc.gov","eeoc.gov","https://www.eeoc.gov","Equal Employment Opportunity Commission","dotgov","Yes"
"eftps.gov","eftps.gov","https://www.eftps.gov","Department of the Treasury","dotgov","No"
"eia.gov","eia.gov","https://www.eia.gov","Department of Energy","dotgov","No"
"eisenhowerlibrary.gov","eisenhowerlibrary.gov","https://www.eisenhowerlibrary.gov","National Archives and Records Administration","dotgov","Yes"
"eisenhowermemorial.gov","eisenhowermemorial.gov","https://eisenhowermemorial.gov","Dwight D. Eisenhower Memorial Commission","dotgov","Yes"
"eldercare.gov","eldercare.gov","https://eldercare.gov","Department of Health and Human Services","dotgov","No"
"employeeexpress.gov","employeeexpress.gov","https://www.employeeexpress.gov","Office of Personnel Management","dotgov","No"
"employer.gov","employer.gov","https://www.employer.gov","Department of Labor","dotgov","Yes"
"empowhr.gov","empowhr.gov","https://www.empowhr.gov","U.S. Department of Agriculture","dotgov","Yes"
"ems.gov","ems.gov","https://www.ems.gov","Department of Transportation","dotgov","No"
